Id,DateReceived,ReceivedQ,DateValid,Authority,Constituency,AppType,Classification,StatsCategory,Urban_Rural,HousingType,RenewableType,Proposal,SiteAddress,Easting,Northing,Status@31Mar,Decision_Withdrawal,DecisionIssuedDate,DecidedQ,DateWithdrawn,WithdrawnQ,processingtime_wks,Live@31Mar,timeinsystem
O/1998/0708,28/09/1998,,28/09/1998,"Armagh, Banbridge and Craigavon",NEWRY AND ARMAGH,Full,Major,Other,Rural: Countryside, , ,Infilling of land - fill to be taken from Abbey Park housing site and deposited on subject site,North of junction at Moy Road and Drumcairn Road Armagh (adjacent to Abbey Park housing development),"286,791","346,379",Pending, ,,,,,,1,12 months and over
R/2000/0535/F,18/04/2000,,18/04/2000,"Newry, Mourne and Down",SOUTH DOWN,Full,Local,Civic,Rural: Settlement, , ,Commerative memorial.,Lower Square Castlewellan,"333,950","336,148",Withdrawn,Withdrawn,,,14/05/2018,Q1,898.6,, 
A/2005/0012/F,10/01/2005,,10/01/2005,Derry and Strabane,FOYLE,Full,Major,Residential,Rural: Settlement,Rural housing developments (settlement), ,"Housing development: 91 Units, comprising of detached, semi detached, terrace, 1 and 2 storey dwellings, shop units with 4 apartments over and associated green spaces. parking and access and existing roads/access improvements to Lettershendony avenue and Tirbracken Road..","Lands near to and northeast of the junction of Gorticross Road and Lettershandoney Avenue, Lettershandoney","250,240","415,180",Approved,Approved,16/01/2019,Q4,,,697.4,, 
T/2005/0977/F,03/10/2005,,12/12/2005,Strategic Planning Division,SOUTH ANTRIM,Full,Major,Civic,Rural: Countryside, , ,Construction of a Waste Transfer & Recycling Facility for Construction & Demolition Wastes (Amended proposal and Receipt of Further Environmental Information),"Parkgate Quarry, Connor Road, Parkgate, Antrim.","321,711","389,294",Pending, ,,,,,,1,12 months and over
T/2005/1054/F,31/10/2005,,06/01/2006,Strategic Planning Division,SOUTH ANTRIM,Full,Major,Other,Rural: Countryside, , ,Landfill Facility for inert Construction and Demolition Wastes (Amended Proposal and Receipt of Further Environmental Information),"Parkgate Quarry, Connor Road, Parkgate, Co Antrim.","321,554","389,631",Pending, ,,,,,,1,12 months and over
A/2006/0441/O,10/05/2006,,10/05/2006,Derry and Strabane,FOYLE,Outline,Major,Residential,Urban,Urban housing developments, ,"Site for residential development to include: mix of house types, local community facilities, open space, pedestrian and vehicular access, primary school, drainage and other infrastructure. (Amended CMP and Maps)",Land West Of Buncrana Road Between Whitehouse Road And Benview Estate Coshquin (identified As H2 Zone In Derry Area Plan 2011),"241,187","420,119",Approved,Approved,30/11/2018,Q3,,,625.4,, 
P/2007/0422/F,20/03/2007,,20/03/2007,"Newry, Mourne and Down",NEWRY AND ARMAGH,Full,Local,Residential,Urban,Urban housing developments, ,"Erection of residential development with access off Dublin Road, parking provision (part underground), associated site works and landscaping (revised scheme for 44 No. apartments (in two 4-storey blocks of 22 apartments) and 1 No. detached dwelling with individual access off Dublin Road, with demolition of the existing dwellings at Nos. 97 and 99 Dublin Road)","Nos. 97 and 99 Dublin Road, Newry (extending to lands to the north (rear) of Nos. 1-8 Riverdale House, off Heslips Lane)","308,074","324,609",Pending, ,,,,,,1,12 months and over
P/2007/0552/F,12/04/2007,,12/04/2007,"Newry, Mourne and Down",NEWRY AND ARMAGH,Full,Major,Residential,Urban,Urban housing developments, ,Erection of residential development (comprising 54No. apartments),"11 Cecil Street, Newry","308,191","326,859",Pending, ,,,,,600.0,1,12 months and over
A/2007/0488/F,11/05/2007,,11/05/2007,Derry and Strabane,FOYLE,Full,Local,Residential,Rural: Countryside,Rural housing developments (countryside), ,"Replacement of 4 no semi-detached and 1 no detached dwellings with 4 no terraced and 1 no detached dwellings, lands at Green Road, Ardmore.",20  24  26  28 & 30 Green Road  Ardmore  Londonderry,"247,294","413,800",Refused,Refused,12/06/2018,Q1,,,551.4,, 
A/2007/0530/F,21/05/2007,,21/05/2007,Derry and Strabane,FOYLE,Full,Local,Residential,Rural: Countryside,Rural housing developments (countryside), ,"Conversion from 14no. mill workers cottages create 9no. two storey terraced dwellings, lands at Green Road, Ardmore","Cottages 70m N.E. of 24 Green Road, Ardmore, Londonderry","247,275","413,916",Refused,Refused,12/06/2018,Q1,,,550.2,, 
J/2007/0416/F,18/06/2007,,04/09/2007,Derry and Strabane,WEST TYRONE,Full,Major,Industrial,Rural: Countryside, , ,"The phased extension to an existing sand and gravel pit including the regularisation of an area of excavated bedrock within the south eastern section of the existing permitted quarry, phased restoration, relocation of existing washing plant and associated settlement lagoons and final restoration of the entire extraction area to agricultural grass lands (DUST MANAGEMENT REPORT RECEIVED)","360m North East of 35 Castlewarren Road, Donemana, Co. Tyrone (Church Hill & Fawney Townlands), BT82 0PJ","245,696","405,026",Pending, ,,,,,,1,12 months and over
Y/2007/0455/F,08/08/2007,,08/08/2007,Lisburn and Castlereagh,BELFAST SOUTH,Full,Major,Mixed Use,Urban, , ,"107 dwellings, access roads, open space and associated site works (2 of 6 phases of BMAP Zoning CF 03/05) - total of 350 dwellings, access from Mealough Road, as per scheme approved under Y/2009/0034/F.",Lands to the rear of and north of 9-21 Marlborough Crescent and 8-22 Blenheim Park  accessed from Mealough Road south of reservoir and east of 6 Mealough Road  Carryduff (part of BMAP Zoning CF03/05).,"336,508","365,620",Approved,Approved,14/03/2019,Q4,,,577.4,, 
J/2007/0667/F,02/10/2007,,15/10/2007,Strategic Planning Division,WEST TYRONE,Full,Major,Civic,Rural: Countryside, ,Wind farm,"Wind farm consisting of 4 wind turbines each with a maximum overall base to blade tip height of 125 metres. Ancillary developments include turbine transformers located internally or externally; turbine hardstands, widening and strengthening of an existing site entrance; an electrical control building with communications antennae; construction of new and amended access tracks and junctions; underground electrical cables and communications lines connecting wind turbines to the control building; on site drainage works; temporary site compound; installation of an 80 high permanent met mast and all ancillary and associated works.","Golandun Dolan, Killeter, Castlederg","217,482","376,616",Approved,Approved,20/12/2018,Q3,,,556.8,, 
A/2008/0236/O,20/03/2008,,20/03/2008,Derry and Strabane,FOYLE,Outline,Major,Residential,Urban,Urban housing developments, ,Site for residential development,Elagh Road / Buncrana Road  Londonderry. North / North East of the Cosh Bar and Grill. BT48 8LB.,"241,175","420,922",Refused,Refused,26/03/2019,Q4,,,547.8,, 
Y/2008/0224/F,22/04/2008,,22/04/2008,Lisburn and Castlereagh,BELFAST SOUTH,Full,Major,Mixed Use,Urban, , ,Development of 117 new houses of mixed variety (Amended Plans),Lands to the rear and North of 21-57 Marlborough Crescent  accessed from Mealough Road and South of 6  14 and 16 Mealough Road (Part of BMAP Zoning CF03/05),"336,302","365,631",Approved,Approved,14/03/2019,Q4,,,542.2,, 
S/2008/0551/F,12/05/2008,,12/05/2008,Lisburn and Castlereagh,LAGAN VALLEY,Full,Major,Residential,Urban,Urban other, ,"Proposed Apart-hotel comprising 70 bedrooms and 60 suites, associated parking and proposed road improvements to Governors Road.","Lisburn Leisure Park, Governors Road, Lisburn, BT28 1LP.","326,257","363,770",Approved,Approved,16/04/2018,Q1,,,493.8,, 
